subject,block,trial_number,soa,response,t_start,t_end
S01_TestSubject,B2,1,150,L,1771977537.4461346,1771977538.2619348
S01_TestSubject,B2,2,150,L,1771977537.4461346,1771977538.496257
S01_TestSubject,B2,3,100,L,1771977537.4461346,1771977537.9944258
S01_TestSubject,B2,4,0,S,1771977537.4461346,1771977538.3462884
S01_TestSubject,B2,5,-50,S,1771977537.4461346,1771977538.650159
S01_TestSubject,B2,6,0,S,1771977537.4461346,1771977538.5453382
S01_TestSubject,B2,7,-50,S,1771977537.4461346,1771977538.2569447
S01_TestSubject,B2,8,-150,S,1771977537.4461346,1771977537.9945145
S01_TestSubject,B2,9,-150,S,1771977537.4461346,1771977538.8787472
S01_TestSubject,B2,10,50,L,1771977537.4461346,1771977538.578501
S01_TestSubject,B2,11,150,L,1771977537.4461346,1771977538.471496
S01_TestSubject,B2,12,-150,S,1771977537.4461346,1771977538.5512102
S01_TestSubject,B2,13,-100,S,1771977537.4461346,1771977538.4588192
S01_TestSubject,B2,14,-50,S,1771977537.4461346,1771977538.8426452
S01_TestSubject,B2,15,-100,S,1771977537.4461346,1771977538.6378543
S01_TestSubject,B2,16,-100,S,1771977537.4461346,1771977538.1354997
S01_TestSubject,B2,17,0,S,1771977537.4461346,1771977538.070915
S01_TestSubject,B2,18,50,L,1771977537.4461346,1771977538.2392125
S01_TestSubject,B2,19,0,L,1771977537.4461346,1771977538.530447
S01_TestSubject,B2,20,100,L,1771977537.4461346,1771977538.5173793
S01_TestSubject,B2,21,-150,S,1771977537.4461346,1771977538.3165703
S01_TestSubject,B2,22,-50,S,1771977537.4461346,1771977538.109738
S01_TestSubject,B2,23,150,L,1771977537.4461346,1771977538.0338817
S01_TestSubject,B2,24,-150,S,1771977537.4461346,1771977538.794863
S01_TestSubject,B2,25,100,L,1771977537.4461346,1771977538.7109878
S01_TestSubject,B2,26,-150,S,1771977537.4461346,1771977538.0328789
S01_TestSubject,B2,27,50,L,1771977537.4461346,1771977538.9346302
S01_TestSubject,B2,28,-100,S,1771977537.4461346,1771977538.3943388
S01_TestSubject,B2,29,50,S,1771977537.4461346,1771977538.7521236
S01_TestSubject,B2,30,150,L,1771977537.4461346,1771977538.937494
S01_TestSubject,B2,31,-150,S,1771977537.4461346,1771977538.682207
S01_TestSubject,B2,32,-100,S,1771977537.4461346,1771977538.8219798
S01_TestSubject,B2,33,100,L,1771977537.4461346,1771977538.237366
S01_TestSubject,B2,34,-100,S,1771977537.4461346,1771977538.4969761
S01_TestSubject,B2,35,50,L,1771977537.4461346,1771977538.1554909
S01_TestSubject,B2,36,100,L,1771977537.4461346,1771977538.564722
S01_TestSubject,B2,37,-50,S,1771977537.4461346,1771977538.3756766
S01_TestSubject,B2,38,100,L,1771977537.4461346,1771977538.925797
S01_TestSubject,B2,39,-100,S,1771977537.4461346,1771977538.6735446
S01_TestSubject,B2,40,-150,S,1771977537.4461346,1771977538.8703163
S01_TestSubject,B2,41,-100,S,1771977537.4461346,1771977538.5944963
S01_TestSubject,B2,42,-50,L,1771977537.4461346,1771977538.5485346
S01_TestSubject,B2,43,-50,S,1771977537.4461346,1771977538.3123968
S01_TestSubject,B2,44,50,L,1771977537.4461346,1771977538.794189
S01_TestSubject,B2,45,0,S,1771977537.4461346,1771977538.3419034
S01_TestSubject,B2,46,150,L,1771977537.4461346,1771977538.919418
S01_TestSubject,B2,47,50,L,1771977537.4461346,1771977538.3029315
S01_TestSubject,B2,48,-100,S,1771977537.4461346,1771977538.8389664
S01_TestSubject,B2,49,50,L,1771977537.4461346,1771977538.4919884
S01_TestSubject,B2,50,150,L,1771977537.4461346,1771977538.0649953
S01_TestSubject,B2,51,150,L,1771977537.4461346,1771977538.689324
S01_TestSubject,B2,52,50,L,1771977537.4461346,1771977538.702238
S01_TestSubject,B2,53,150,L,1771977537.4461346,1771977538.3974643
S01_TestSubject,B2,54,50,L,1771977537.4461346,1771977538.7029898
S01_TestSubject,B2,55,-50,S,1771977537.4461346,1771977538.3493288
S01_TestSubject,B2,56,100,L,1771977537.4461346,1771977538.4867985
S01_TestSubject,B2,57,-150,S,1771977537.4461346,1771977538.0477624
S01_TestSubject,B2,58,-50,S,1771977537.4461346,1771977538.710212
S01_TestSubject,B2,59,100,L,1771977537.4461346,1771977538.5217083
S01_TestSubject,B2,60,0,L,1771977537.4461346,1771977538.0884047
S01_TestSubject,B2,61,0,S,1771977537.4461346,1771977538.9299457
S01_TestSubject,B2,62,150,L,1771977537.4461346,1771977538.1735067
S01_TestSubject,B2,63,-150,S,1771977537.4461346,1771977538.5527923
S01_TestSubject,B2,64,50,L,1771977537.4461346,1771977538.6590612
S01_TestSubject,B2,65,-100,S,1771977537.4461346,1771977538.0993125
S01_TestSubject,B2,66,-100,S,1771977537.4461346,1771977538.8762295
S01_TestSubject,B2,67,-150,S,1771977537.4461346,1771977538.2802732
S01_TestSubject,B2,68,-50,S,1771977537.4461346,1771977538.7864752
S01_TestSubject,B2,69,150,L,1771977537.4461346,1771977538.2588496
S01_TestSubject,B2,70,100,L,1771977537.4461346,1771977538.1480975
S01_TestSubject,B2,71,0,S,1771977537.4461346,1771977538.1031108
S01_TestSubject,B2,72,-150,S,1771977537.4461346,1771977538.202726
S01_TestSubject,B2,73,-50,S,1771977537.4461346,1771977538.1453102
S01_TestSubject,B2,74,0,S,1771977537.4461346,1771977538.543521
S01_TestSubject,B2,75,-50,S,1771977537.4461346,1771977538.5718558
S01_TestSubject,B2,76,150,L,1771977537.4461346,1771977538.5836291
S01_TestSubject,B2,77,50,L,1771977537.4461346,1771977538.8522651
S01_TestSubject,B2,78,100,L,1771977537.4461346,1771977538.7788188
S01_TestSubject,B2,79,100,L,1771977537.4461346,1771977538.7254634
S01_TestSubject,B2,80,-50,S,1771977537.4461346,1771977538.115809
S01_TestSubject,B2,81,-150,S,1771977537.4461346,1771977538.4584017
S01_TestSubject,B2,82,-100,S,1771977537.4461346,1771977538.0846627
S01_TestSubject,B2,83,-150,S,1771977537.4461346,1771977538.1347709
S01_TestSubject,B2,84,0,S,1771977537.4461346,1771977538.1366677
S01_TestSubject,B2,85,50,L,1771977537.4461346,1771977538.5868256
S01_TestSubject,B2,86,-100,S,1771977537.4461346,1771977537.9558678
S01_TestSubject,B2,87,150,L,1771977537.4461346,1771977538.211158
S01_TestSubject,B2,88,-100,S,1771977537.4461346,1771977538.63991
S01_TestSubject,B2,89,150,L,1771977537.4461346,1771977538.9396775
S01_TestSubject,B2,90,0,S,1771977537.4461346,1771977538.1345778
S01_TestSubject,B2,91,-100,S,1771977537.4461346,1771977538.5034416
S01_TestSubject,B2,92,-50,L,1771977537.4461346,1771977538.2798717
S01_TestSubject,B2,93,0,S,1771977537.4461346,1771977538.4715672
S01_TestSubject,B2,94,100,L,1771977537.4461346,1771977538.5167031
S01_TestSubject,B2,95,50,L,1771977537.4461346,1771977538.655738
S01_TestSubject,B2,96,-50,S,1771977537.4461346,1771977538.0633237
S01_TestSubject,B2,97,0,S,1771977537.4461346,1771977538.315039
S01_TestSubject,B2,98,100,L,1771977537.4461346,1771977538.5391817
S01_TestSubject,B2,99,150,L,1771977537.4461346,1771977538.9385147
S01_TestSubject,B2,100,100,L,1771977537.4461346,1771977538.3107367
S01_TestSubject,B2,101,100,L,1771977537.4461346,1771977538.0473974
S01_TestSubject,B2,102,0,S,1771977537.4461346,1771977538.8884566
S01_TestSubject,B2,103,-150,S,1771977537.4461346,1771977538.1223304
S01_TestSubject,B2,104,50,L,1771977537.4461346,1771977538.2538087
S01_TestSubject,B2,105,0,S,1771977537.4461346,1771977538.6894968
