subject,block,trial_number,pss_ms,theta_phase_deg,gamma_amplitude,t_start,t_end
S01_TestSubject,B3,1,20.789024478281757,183.47,7.2098,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,2,20.789024478281757,19.49,5.0369,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,3,20.789024478281757,344.49,2.7644,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,4,20.789024478281757,288.04,1.0874,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,5,20.789024478281757,132.68,6.8778,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,6,20.789024478281757,5.54,5.1365,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,7,20.789024478281757,38.07,4.9396,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,8,20.789024478281757,45.07,6.4034,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,9,20.789024478281757,37.17,6.8507,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,10,20.789024478281757,128.22,7.0786,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,11,20.789024478281757,247.78,2.363,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,12,20.789024478281757,86.36,7.0556,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,13,20.789024478281757,238.87,2.7536,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,14,20.789024478281757,320.55,2.5876,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,15,20.789024478281757,310.46,0.3181,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,16,20.789024478281757,44.59,5.9639,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,17,20.789024478281757,72.56,7.4527,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,18,20.789024478281757,234.48,2.5932,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,19,20.789024478281757,143.62,6.5687,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,20,20.789024478281757,91.7,7.4566,1771977537.4547849,1771977538.4547849
