subject,block,trial_number,soa,response,t_start,t_end,theta_phase_deg,phase_error_deg,gamma_amplitude
S01_TestSubject,B4,1,150,L,1771977537.457106,1771977538.2359102,116.78,6.78,9.9008
S01_TestSubject,B4,2,150,L,1771977537.457106,1771977538.603173,104.7,5.3,10.023
S01_TestSubject,B4,3,50,L,1771977537.457106,1771977538.3206928,105.39,4.61,10.5726
S01_TestSubject,B4,4,-50,S,1771977537.457106,1771977538.21327,106.01,3.99,10.9295
S01_TestSubject,B4,5,-100,S,1771977537.457106,1771977538.4673972,115.62,5.62,11.7897
S01_TestSubject,B4,6,0,L,1771977537.457106,1771977538.5902174,104.9,5.1,11.323
S01_TestSubject,B4,7,100,L,1771977537.457106,1771977538.828812,106.48,3.52,11.929
S01_TestSubject,B4,8,150,L,1771977537.457106,1771977538.2736862,114.17,4.17,9.509
S01_TestSubject,B4,9,0,S,1771977537.457106,1771977538.2345543,105.59,4.41,11.5628
S01_TestSubject,B4,10,100,L,1771977537.457106,1771977538.8589454,120.98,10.98,9.6388
S01_TestSubject,B4,11,0,S,1771977537.457106,1771977538.8414915,97.79,12.21,11.7877
S01_TestSubject,B4,12,-150,S,1771977537.457106,1771977538.377323,101.87,8.13,11.5296
S01_TestSubject,B4,13,-50,S,1771977537.457106,1771977538.787471,101.31,8.69,11.0137
S01_TestSubject,B4,14,0,S,1771977537.457106,1771977538.731827,108.52,1.48,9.643
S01_TestSubject,B4,15,50,L,1771977537.457106,1771977538.6069195,109.1,0.9,11.3296
S01_TestSubject,B4,16,-100,L,1771977537.457106,1771977538.462578,108.84,1.16,10.8334
S01_TestSubject,B4,17,150,L,1771977537.457106,1771977538.0954318,104.16,5.84,11.2888
S01_TestSubject,B4,18,50,L,1771977537.457106,1771977538.466001,112.1,2.1,10.6198
S01_TestSubject,B4,19,100,L,1771977537.457106,1771977538.6531453,113.92,3.92,12.0486
S01_TestSubject,B4,20,-50,S,1771977537.457106,1771977538.7742627,118.8,8.8,11.0055
S01_TestSubject,B4,21,-100,S,1771977537.457106,1771977538.2330358,116.41,6.41,9.9237
S01_TestSubject,B4,22,150,L,1771977537.457106,1771977538.1849303,105.0,5.0,12.4272
S01_TestSubject,B4,23,-100,L,1771977537.457106,1771977538.4526634,106.69,3.31,10.571
S01_TestSubject,B4,24,100,L,1771977537.457106,1771977538.7093897,118.89,8.89,11.1915
S01_TestSubject,B4,25,50,L,1771977537.457106,1771977538.6250386,103.26,6.74,11.3361
S01_TestSubject,B4,26,100,L,1771977537.457106,1771977538.4804442,118.9,8.9,10.9381
S01_TestSubject,B4,27,-150,S,1771977537.457106,1771977538.9511483,106.01,3.99,11.5907
S01_TestSubject,B4,28,50,L,1771977537.457106,1771977538.1298182,107.05,2.95,10.4755
S01_TestSubject,B4,29,-50,S,1771977537.457106,1771977538.638509,97.89,12.11,11.4073
S01_TestSubject,B4,30,150,L,1771977537.457106,1771977538.3600135,104.51,5.49,11.138
S01_TestSubject,B4,31,-50,S,1771977537.457106,1771977538.3155394,113.77,3.77,10.6957
S01_TestSubject,B4,32,-150,S,1771977537.457106,1771977538.9055545,105.17,4.83,10.4158
S01_TestSubject,B4,33,-100,S,1771977537.457106,1771977538.2048354,115.93,5.93,11.116
S01_TestSubject,B4,34,-100,S,1771977537.457106,1771977538.8922448,106.82,3.18,11.8456
S01_TestSubject,B4,35,0,S,1771977537.457106,1771977538.7687936,104.96,5.04,10.8333
S01_TestSubject,B4,36,-100,S,1771977537.457106,1771977538.3959212,99.63,10.37,11.6501
